clue_id,puzzle_id
465096,0
465097,0
465098,0
465099,0
465100,0
465101,0
465102,0
465103,0
465104,0
465105,0
465106,0
465107,0
465108,0
465109,0
465110,0
465111,0
465112,0
465113,0
465114,0
465115,0
465116,0
465117,0
465118,0
465119,0
465120,0
465121,0
465122,0
477713,1
477714,1
477715,1
477716,1
477717,1
477718,1
477719,1
477720,1
477721,1
477722,1
477723,1
477724,1
477725,1
477726,1
477727,1
477728,1
477729,1
477730,1
477731,1
477732,1
477733,1
477734,1
477735,1
477736,1
477737,1
477738,1
477739,1
477740,1
477741,1
477742,1
483336,2
483337,2
483338,2
483339,2
483340,2
483341,2
483342,2
483343,2
483344,2
483345,2
483346,2
483347,2
483348,2
483349,2
483350,2
483351,2
483352,2
483353,2
483354,2
483355,2
483356,2
483357,2
483358,2
483359,2
483360,2
483361,2
483362,2
483363,2
470102,3
470103,3
470104,3
470105,3
470106,3
470107,3
470108,3
470109,3
470110,3
470111,3
470112,3
470113,3
470114,3
470115,3
470116,3
470117,3
470118,3
470119,3
470120,3
470121,3
470122,3
470123,3
470124,3
470125,3
470126,3
470127,3
470128,3
470129,3
470130,3
470131,3
482654,4
482655,4
482656,4
482657,4
482658,4
482659,4
482660,4
482661,4
482662,4
482663,4
482664,4
482665,4
482666,4
482667,4
482668,4
482669,4
482670,4
482671,4
482672,4
482673,4
482674,4
482675,4
482676,4
482677,4
482678,4
482679,4
482680,4
463241,5
463242,5
463243,5
463244,5
463245,5
463246,5
463247,5
463248,5
463249,5
463250,5
463251,5
463252,5
463253,5
463254,5
463255,5
463256,5
463257,5
463258,5
463259,5
463260,5
463261,5
463262,5
463263,5
463264,5
463265,5
463266,5
463267,5
463268,5
463269,5
463270,5
461823,6
461824,6
461825,6
461826,6
461827,6
461828,6
461829,6
461830,6
461831,6
461832,6
461833,6
461834,6
461835,6
461836,6
461837,6
461838,6
461839,6
461840,6
461841,6
461842,6
461843,6
461844,6
461845,6
461846,6
461847,6
461848,6
461849,6
461850,6
461851,6
470665,7
470666,7
470667,7
470668,7
470669,7
470670,7
470671,7
470672,7
470673,7
470674,7
470675,7
470676,7
470677,7
470678,7
470679,7
470680,7
470681,7
470682,7
470683,7
470684,7
470685,7
470686,7
470687,7
470688,7
470689,7
470690,7
470691,7
459918,8
459919,8
459920,8
459921,8
459922,8
459923,8
459924,8
459925,8
459926,8
459927,8
459928,8
459929,8
459930,8
459931,8
459932,8
459933,8
459934,8
459935,8
459936,8
459937,8
459938,8
459939,8
459940,8
459941,8
459942,8
459943,8
459944,8
459945,8
459946,8
459947,8
459948,8
459949,8
483536,9
483537,9
483538,9
483539,9
483540,9
483541,9
483542,9
483543,9
483544,9
483545,9
483546,9
483547,9
483548,9
483549,9
483550,9
483551,9
483552,9
483553,9
483554,9
483555,9
483556,9
483557,9
483558,9
483559,9
483560,9
483561,9
483562,9
483563,9
475371,10
475372,10
475373,10
475374,10
475375,10
475376,10
475377,10
475378,10
475379,10
475380,10
475381,10
475382,10
475383,10
475384,10
475385,10
475386,10
475387,10
475388,10
475389,10
475390,10
475391,10
475392,10
475393,10
475394,10
475395,10
475396,10
475397,10
475398,10
475399,10
475400,10
475401,10
475402,10
478619,11
478620,11
478621,11
478622,11
478623,11
478624,11
478625,11
478626,11
478627,11
478628,11
478629,11
478630,11
478631,11
478632,11
478633,11
478634,11
478635,11
478636,11
478637,11
478638,11
478639,11
478640,11
478641,11
478642,11
478643,11
478644,11
478645,11
478646,11
478647,11
478648,11
454167,12
454168,12
454169,12
454170,12
454171,12
454172,12
454173,12
454174,12
454175,12
454176,12
454177,12
454178,12
454179,12
454180,12
454181,12
454182,12
454183,12
454184,12
454185,12
454186,12
454187,12
454188,12
454189,12
454190,12
454191,12
454192,12
454193,12
454194,12
454195,12
454196,12
454197,12
454198,12
464605,13
464606,13
464607,13
464608,13
464609,13
464610,13
464611,13
464612,13
464613,13
464614,13
464615,13
464616,13
464617,13
464618,13
464619,13
464620,13
464621,13
464622,13
464623,13
464624,13
464625,13
464626,13
464627,13
464628,13
464629,13
464630,13
464631,13
464632,13
464633,13
464634,13
469879,14
469880,14
469881,14
469882,14
469883,14
469884,14
469885,14
469886,14
469887,14
469888,14
469889,14
469890,14
469891,14
469892,14
469893,14
469894,14
469895,14
469896,14
469897,14
469898,14
469899,14
469900,14
469901,14
469902,14
469903,14
469904,14
469905,14
469906,14
465155,15
465156,15
465157,15
465158,15
465159,15
465160,15
465161,15
465162,15
465163,15
465164,15
465165,15
465166,15
465167,15
465168,15
465169,15
465170,15
465171,15
465172,15
465173,15
465174,15
465175,15
465176,15
465177,15
465178,15
465179,15
465180,15
465181,15
465182,15
465183,15
461736,16
461737,16
461738,16
461739,16
461740,16
461741,16
461742,16
461743,16
461744,16
461745,16
461746,16
461747,16
461748,16
461749,16
461750,16
461751,16
461752,16
461753,16
461754,16
461755,16
461756,16
461757,16
461758,16
461759,16
461760,16
461761,16
461762,16
461763,16
461311,17
461312,17
461313,17
461314,17
461315,17
461316,17
461317,17
461318,17
461319,17
461320,17
461321,17
461322,17
461323,17
461324,17
461325,17
461326,17
461327,17
461328,17
461329,17
461330,17
461331,17
461332,17
461333,17
461334,17
461335,17
461336,17
461337,17
461338,17
461339,17
461340,17
461341,17
461342,17
483158,18
483159,18
483160,18
483161,18
483162,18
483163,18
483164,18
483165,18
483166,18
483167,18
483168,18
483169,18
483170,18
483171,18
483172,18
483173,18
483174,18
483175,18
483176,18
483177,18
483178,18
483179,18
483180,18
483181,18
483182,18
483183,18
483184,18
483185,18
475403,19
475404,19
475405,19
475406,19
475407,19
475408,19
475409,19
475410,19
475411,19
475412,19
475413,19
475414,19
475415,19
475416,19
475417,19
475418,19
475419,19
475420,19
475421,19
475422,19
475423,19
475424,19
475425,19
475426,19
475427,19
475428,19
475429,19
475430,19
484698,20
484699,20
484700,20
484701,20
484702,20
484703,20
484704,20
484705,20
484706,20
484707,20
484708,20
484709,20
484710,20
484711,20
484712,20
484713,20
484714,20
484715,20
484716,20
484717,20
484718,20
484719,20
484720,20
484721,20
484722,20
484723,20
484724,20
484725,20
476661,21
476662,21
476663,21
476664,21
476665,21
476666,21
476667,21
476668,21
476669,21
476670,21
476671,21
476672,21
476673,21
476674,21
476675,21
476676,21
476677,21
476678,21
476679,21
476680,21
476681,21
476682,21
476683,21
476684,21
476685,21
476686,21
476687,21
476688,21
476689,21
476690,21
476691,21
460519,22
460520,22
460521,22
460522,22
460523,22
460524,22
460525,22
460526,22
460527,22
460528,22
460529,22
460530,22
460531,22
460532,22
460533,22
460534,22
460535,22
460536,22
460537,22
460538,22
460539,22
460540,22
460541,22
460542,22
460543,22
460544,22
460545,22
460546,22
460547,22
454410,23
454411,23
454412,23
454413,23
454414,23
454415,23
454416,23
454417,23
454418,23
454419,23
454420,23
454421,23
454422,23
454423,23
454424,23
454425,23
454426,23
454427,23
454428,23
454429,23
454430,23
454431,23
454432,23
454433,23
454434,23
454435,23
454436,23
454437,23
456737,24
456738,24
456739,24
456740,24
456741,24
456742,24
456743,24
456744,24
456745,24
456746,24
456747,24
456748,24
456749,24
456750,24
456751,24
456752,24
456753,24
456754,24
456755,24
456756,24
456757,24
456758,24
456759,24
456760,24
456761,24
456762,24
456763,24
456764,24
477302,25
477303,25
477304,25
477305,25
477306,25
477307,25
477308,25
477309,25
477310,25
477311,25
477312,25
477313,25
477314,25
477315,25
477316,25
477317,25
477318,25
477319,25
477320,25
477321,25
477322,25
477323,25
477324,25
477325,25
477326,25
477327,25
477328,25
477329,25
477330,25
481717,26
481718,26
481719,26
481720,26
481721,26
481722,26
481723,26
481724,26
481725,26
481726,26
481727,26
481728,26
481729,26
481730,26
481731,26
481732,26
481733,26
481734,26
481735,26
481736,26
481737,26
481738,26
481739,26
481740,26
481741,26
481742,26
481743,26
481744,26
481745,26
481746,26
480321,27
480322,27
480323,27
480324,27
480325,27
480326,27
480327,27
480328,27
480329,27
480330,27
480331,27
480332,27
480333,27
480334,27
480335,27
480336,27
480337,27
480338,27
480339,27
480340,27
480341,27
480342,27
480343,27
480344,27
480345,27
480346,27
480347,27
480348,27
480349,27
480350,27
480351,27
456502,28
456503,28
456504,28
456505,28
456506,28
456507,28
456508,28
456509,28
456510,28
456511,28
456512,28
456513,28
456514,28
456515,28
456516,28
456517,28
456518,28
456519,28
456520,28
456521,28
456522,28
456523,28
456524,28
456525,28
456526,28
456527,28
456528,28
456529,28
479145,29
479146,29
479147,29
479148,29
479149,29
479150,29
479151,29
479152,29
479153,29
479154,29
479155,29
479156,29
479157,29
479158,29
479159,29
479160,29
479161,29
479162,29
479163,29
479164,29
479165,29
479166,29
479167,29
479168,29
479169,29
479170,29
479171,29
479172,29
469326,30
469327,30
469328,30
469329,30
469330,30
469331,30
469332,30
469333,30
469334,30
469335,30
469336,30
469337,30
469338,30
469339,30
469340,30
469341,30
469342,30
469343,30
469344,30
469345,30
469346,30
469347,30
469348,30
469349,30
469350,30
469351,30
469352,30
469353,30
469354,30
469355,30
469356,30
465796,31
465797,31
465798,31
465799,31
465800,31
465801,31
465802,31
465803,31
465804,31
465805,31
465806,31
465807,31
465808,31
465809,31
465810,31
465811,31
465812,31
465813,31
465814,31
465815,31
465816,31
465817,31
465818,31
465819,31
465820,31
465821,31
465822,31
465823,31
465824,31
465825,31
477859,32
477860,32
477861,32
477862,32
477863,32
477864,32
477865,32
477866,32
477867,32
477868,32
477869,32
477870,32
477871,32
477872,32
477873,32
477874,32
477875,32
477876,32
477877,32
477878,32
477879,32
477880,32
477881,32
477882,32
477883,32
477884,32
468370,33
468371,33
468372,33
468373,33
468374,33
468375,33
468376,33
468377,33
468378,33
468379,33
468380,33
468381,33
468382,33
468383,33
468384,33
468385,33
468386,33
468387,33
468388,33
468389,33
468390,33
468391,33
468392,33
468393,33
468394,33
468395,33
468396,33
470162,34
470163,34
470164,34
470165,34
470166,34
470167,34
470168,34
470169,34
470170,34
470171,34
470172,34
470173,34
470174,34
470175,34
470176,34
470177,34
470178,34
470179,34
470180,34
470181,34
470182,34
470183,34
470184,34
470185,34
470186,34
470187,34
470188,34
470189,34
455267,35
455268,35
455269,35
455270,35
455271,35
455272,35
455273,35
455274,35
455275,35
455276,35
455277,35
455278,35
455279,35
455280,35
455281,35
455282,35
455283,35
455284,35
455285,35
455286,35
455287,35
455288,35
455289,35
455290,35
455291,35
455292,35
455293,35
455294,35
455295,35
455296,35
479294,36
479295,36
479296,36
479297,36
479298,36
479299,36
479300,36
479301,36
479302,36
479303,36
479304,36
479305,36
479306,36
479307,36
479308,36
479309,36
479310,36
479311,36
479312,36
479313,36
479314,36
479315,36
479316,36
479317,36
479318,36
479319,36
479320,36
479321,36
479322,36
479323,36
453216,37
453217,37
453218,37
453219,37
453220,37
453221,37
453222,37
453223,37
453224,37
453225,37
453226,37
453227,37
453228,37
453229,37
453230,37
453231,37
453232,37
453233,37
453234,37
453235,37
453236,37
453237,37
453238,37
453239,37
453240,37
453241,37
453242,37
453243,37
453244,37
453245,37
476834,38
476835,38
476836,38
476837,38
476838,38
476839,38
476840,38
476841,38
476842,38
476843,38
476844,38
476845,38
476846,38
476847,38
476848,38
476849,38
476850,38
476851,38
476852,38
476853,38
476854,38
476855,38
476856,38
476857,38
476858,38
476859,38
476860,38
476861,38
476862,38
476863,38
476864,38
461045,39
461046,39
461047,39
461048,39
461049,39
461050,39
461051,39
461052,39
461053,39
461054,39
461055,39
461056,39
461057,39
461058,39
461059,39
461060,39
461061,39
461062,39
461063,39
461064,39
461065,39
461066,39
461067,39
